Year,State,Employment,AVG Price
2000,AK,248329,$139983.394
2000,AL,1812676,$90142.5622
2000,AR,750096,$68742.9405
2000,AZ,2683392,$132916.6797
2000,CA,18846574,$266632.6459
2000,CO,2508819,$198529.3937
2000,CT,1972690,$196084.5759
2000,DE,71832,$130522.9708
2000,FL,8620910,$128270.695
2000,GA,3685760,$100399.1894
2000,HI,635131,$183779.0111
2000,IA,876977,$94989.7611
2000,ID,529067,$106297.9847
2000,IL,1045703,$161016.3377
2000,IN,2032205,$84972.2295
2000,KS,647235,$103382.3469
2000,KY,516183,$79575.3077
2000,LA,2073814,$94886.3293
2000,MA,578511,$218141.189
2000,MD,1593263,$168215.6737
2000,ME,472903,$114229.1681
2000,MI,4716778,$120482.5754
2000,MN,308980,$156174.0288
2000,MO,543712,$135897.4622
2000,NC,2892188,$105294.4943
2000,NE,239415,$120155.3113
2000,NH,246068,$138740.9196
2000,NJ,541054,$192724.7932
2000,NV,1130192,$219002.9498
2000,NY,3113507,$162490.055
2000,OH,4235017,$114358.5178
2000,OK,1330655,$54584.7695
2000,OR,686135,$156184.225
2000,PA,3530077,$113468.7079
2000,SC,1608020,$111193.2536
2000,TN,1706899,$78729.9178
2000,TX,10698149,$152473.1122
2000,UT,1186118,$197909.1741
2000,VA,1344390,$154106.4416
2000,VT,142039,$111651.8141
2000,WA,3040946,$213344.7654
2000,WI,2366566,$162690.7205
2000,WV,336231,$67727.596
2001,AK,254490,$162820.5476
2001,AL,1812879,$93330.0794
2001,AR,762595,$72368.1847
2001,AZ,2712050,$139989.1066
2001,CA,18956953,$297468.0421
2001,CO,2527574,$220786.1558
2001,CT,1980293,$213520.6585
2001,DE,72004,$146379.0109
2001,FL,8678112,$140095.4429
2001,GA,3719703,$107652.6345
2001,HI,634363,$197270.6003
2001,IA,881684,$99518.6748
2001,ID,537967,$152256.5661
2001,IL,1031947,$171394.519
2001,IN,2001130,$92936.7226
2001,KS,656764,$179543.1121
2001,KY,512847,$83419.6781
2001,LA,2087684,$99925.5219
2001,MA,582143,$248791.0167
2001,MD,1594780,$180413.3245
2001,ME,479126,$125721.3711
2001,MI,4651873,$127602.6954
2001,MN,314521,$172475.6877
2001,MO,545787,$139134.9072
2001,NC,2868364,$111936.9064
2001,NE,242309,$121867.3901
2001,NH,245028,$156413.5502
2001,NJ,545472,$214665.522
2001,NV,1166203,$236693.0343
2001,NY,3082534,$180903.2709
2001,OH,4204932,$119566.7135
2001,OK,1343123,$57443.002
2001,OR,683870,$162139.3135
2001,PA,3525647,$119227.4075
2001,SC,1595313,$119524.1
2001,TN,1691421,$82198.3658
2001,TX,10848927,$150264.6414
2001,UT,1197034,$207095.6004
2001,VA,1341895,$170030.5433
2001,VT,144163,$120298.3314
2001,WA,3036753,$219403.5408
2001,WI,2368876,$167226.948
2001,WV,335576,$71240.4878
2002,AK,260267,$178626.1262
2002,AL,1808313,$97189.4494
2002,AR,767321,$74386.8635
2002,AZ,2730407,$145892.8968
2002,CA,18964416,$325180.1925
2002,CO,2504063,$231280.512
2002,CT,1973941,$234480.7591
2002,DE,73663,$160911.7432
2002,FL,8794769,$155610.1401
2002,GA,3710979,$112342.301
2002,HI,637258,$213028.276
2002,IA,879178,$102342.048
2002,ID,543321,$152551.5176
2002,IL,1020275,$180859.7376
2002,IN,1985463,$97109.0479
2002,KS,644715,$161686.7426
2002,KY,506747,$85628.1598
2002,LA,2090428,$107215.8757
2002,MA,582104,$279260.6432
2002,MD,1608106,$198830.5121
2002,ME,481095,$139036.4205
2002,MI,4596672,$132802.3546
2002,MN,317768,$189745.2476
2002,MO,546579,$146365.7649
2002,NC,2861021,$120251.3644
2002,NE,242829,$123163.0436
2002,NH,242388,$174922.0139
2002,NJ,548005,$241255.2968
2002,NM,672567,$144689.0412
2002,NV,1181457,$257207.2295
2002,NY,3059976,$201738.4534
2002,OH,4146158,$123420.6555
2002,OK,1331536,$59647.7731
2002,OR,683933,$167911.7245
2002,PA,3513983,$127238.0841
2002,SC,1588904,$122459.2
2002,TN,1688838,$84626.2714
2002,TX,10868336,$152991.5857
2002,UT,1198565,$209790.2136
2002,VA,1339667,$183494.4556
2002,VT,143707,$128981.6091
2002,WA,3005988,$224913.8901
2002,WI,2358837,$169204.4772
2002,WV,333984,$74139.5444
2002,WY,99359,$136906.5981
2003,AK,264630,$187734.3938
2003,AL,1817133,$99086.899
2003,AR,778744,$77032.4506
2003,AZ,2797607,$153481.6128
2003,CA,19085710,$363488.354
2003,CO,2494107,$234156.6765
2003,CT,1968288,$262158.7994
2003,DE,75124,$181673.7061
2003,FL,9019030,$174791.8348
2003,GA,3744115,$115093.4258
2003,HI,649521,$244538.9723
2003,IA,882256,$105897.328
2003,ID,552012,$151107.6329
2003,IL,1010976,$190806.0232
2003,IN,1987676,$105622.9711
2003,KS,639199,$159313.7038
2003,KY,513296,$86775.1896
2003,LA,2108538,$113788.5853
2003,MA,582246,$314393.0934
2003,MD,1618622,$225997.9994
2003,ME,485236,$153852.5738
2003,MI,4572440,$136105.3005
2003,MN,320277,$205000.6757
2003,MO,553502,$153724.2156
2003,MS,622494,$76682.9485
2003,NC,2871702,$123998.434
2003,NE,245880,$124593.3065
2003,NH,246090,$194103.8148
2003,NJ,555703,$277710.2074
2003,NM,683676,$153798.5384
2003,NV,1232187,$283190.28
