Year,State,Population,AVG Price
2000,AK,403623,$139983.394
2000,AL,3197615,$90142.5622
2000,AR,1243811,$68742.9405
2000,AZ,4841800,$132916.6797
2000,CA,33190914,$266632.6459
2000,CO,3700292,$198529.3937
2000,CT,3119995,$196084.5759
2000,DE,127229,$130522.9708
2000,FL,15421963,$128270.695
2000,GA,5903159,$100399.1894
2000,HI,1005707,$183779.0111
2000,IA,1249921,$94989.7611
2000,ID,849624,$106297.9847
2000,IL,1710718,$161016.3377
2000,IN,3114526,$84972.2295
2000,KS,1006716,$103382.3469
2000,KY,789861,$79575.3077
2000,LA,3706412,$94886.3293
2000,MA,1038168,$218141.189
2000,MD,2644456,$168215.6737
2000,ME,737968,$114229.1681
2000,MI,8094158,$120482.5754
2000,MN,439604,$156174.0288
2000,MO,830756,$135897.4622
2000,NC,4629090,$105294.4943
2000,NE,336286,$120155.3113
2000,NH,382162,$138740.9196
2000,NJ,853716,$192724.7932
2000,NV,1791259,$219002.9498
2000,NY,5490046,$162490.055
2000,OH,6779608,$114358.5178
2000,OK,2138785,$54584.7695
2000,OR,1226947,$156184.225
2000,PA,6108016,$113468.7079
2000,SC,2656316,$111193.2536
2000,TN,2674142,$78729.9178
2000,TX,17975454,$152473.1122
2000,UT,1901728,$197909.1741
2000,VA,2105079,$154106.4416
2000,VT,199600,$111651.8141
2000,WA,4886118,$213344.7654
2000,WI,3538726,$162690.7205
2000,WV,617268,$67727.596
2001,AK,410895,$162820.5476
2001,AL,3216001,$93330.0794
2001,AR,1259058,$72368.1847
2001,AZ,4955918,$139989.1066
2001,CA,33675821,$297468.0421
2001,CO,3792364,$220786.1558
2001,CT,3138847,$213520.6585
2001,DE,129228,$146379.0109
2001,FL,15728742,$140095.4429
2001,GA,6030726,$107652.6345
2001,HI,1015183,$197270.6003
2001,IA,1260924,$99518.6748
2001,ID,870555,$152256.5661
2001,IL,1715963,$171394.519
2001,IN,3145856,$92936.7226
2001,KS,1011000,$179543.1121
2001,KY,797069,$83419.6781
2001,LA,3716920,$99925.5219
2001,MA,1038647,$248791.0167
2001,MD,2662926,$180413.3245
2001,ME,745345,$125721.3711
2001,MI,8123009,$127602.6954
2001,MN,445495,$172475.6877
2001,MO,839823,$139134.9072
2001,NC,4704826,$111936.9064
2001,NE,339238,$121867.3901
2001,NH,387414,$156413.5502
2001,NJ,858027,$214665.522
2001,NV,1869313,$236693.0343
2001,NY,5501148,$180903.2709
2001,OH,6797974,$119566.7135
2001,OK,2153696,$57443.002
2001,OR,1239284,$162139.3135
2001,PA,6112176,$119227.4075
2001,SC,2686493,$119524.1
2001,TN,2705525,$82198.3658
2001,TX,18348722,$150264.6414
2001,UT,1938111,$207095.6004
2001,VA,2125323,$170030.5433
2001,VT,201361,$120298.3314
2001,WA,4945911,$219403.5408
2001,WI,3560414,$167226.948
2001,WV,615206,$71240.4878
2002,AK,418677,$178626.1262
2002,AL,3232559,$97189.4494
2002,AR,1274874,$74386.8635
2002,AZ,5076807,$145892.8968
2002,CA,34059641,$325180.1925
2002,CO,3848520,$231280.512
2002,CT,3161697,$234480.7591
2002,DE,131824,$160911.7432
2002,FL,16056976,$155610.1401
2002,GA,6140564,$112342.301
2002,HI,1025056,$213028.276
2002,IA,1271720,$102342.048
2002,ID,889490,$152551.5176
2002,IL,1723558,$180859.7376
2002,IN,3169335,$97109.0479
2002,KS,1017038,$161686.7426
2002,KY,803739,$85628.1598
2002,LA,3738774,$107215.8757
2002,MA,1042952,$279260.6432
2002,MD,2686320,$198830.5121
2002,ME,752539,$139036.4205
2002,MI,8139215,$132802.3546
2002,MN,451876,$189745.2476
2002,MO,850577,$146365.7649
2002,NC,4773351,$120251.3644
2002,NE,343175,$123163.0436
2002,NH,389665,$174922.0139
2002,NJ,864186,$241255.2968
2002,NM,1189165,$144689.0412
2002,NV,1943171,$257207.2295
2002,NY,5518187,$201738.4534
2002,OH,6812271,$123420.6555
2002,OK,2174223,$59647.7731
2002,OR,1258601,$167911.7245
2002,PA,6127058,$127238.0841
2002,SC,2715320,$122459.2
2002,TN,2733674,$84626.2714
2002,TX,18704397,$152991.5857
2002,UT,1972343,$209790.2136
2002,VA,2145587,$183494.4556
2002,VT,203052,$128981.6091
