StateName,Year,HouseSaleCount_sum,Employment_sum
NY,2008,129624,3199051
NY,2009,128691,3133838
NY,2010,128011,3114073
NY,2011,122871,3140298
NY,2012,132625,3153308
NY,2013,167963,3168784
NY,2014,164071,3188172
NY,2015,182342,3215993
NY,2016,204508,3232849
TX,2008,142107,12799248
NY,2017,221397,3248188
TX,2009,143457,12657879
NY,2018,218826,3283295
TX,2010,136137,12716887
NY,2019,210249,3281954
TX,2011,138592,13106165
NY,2020,214946,3088782
TX,2012,161454,13491126
NY,2021,261730,3161547
TX,2013,196462,13901293
TX,2014,187889,14349099
TX,2015,208078,14765861
CA,2008,171994,20251018
TX,2016,219201,15047151
CA,2009,222242,19450233
TX,2017,223382,15459364
CA,2010,247770,19262420
TX,2018,226518,15934938
CA,2011,245734,19608643
TX,2019,232530,16225651
CA,2012,301085,20291167
TX,2020,253496,16056219
CA,2013,326104,20934796
TX,2021,278147,16605918
CA,2014,310624,21605553
CA,2015,337583,22290215
CA,2016,346068,22774398
CA,2017,350387,23142898
CA,2018,321525,23667227
CA,2019,313564,23817796
CA,2020,322027,22762492
CA,2021,381494,23503213
OH,2008,40651,4209432
OH,2009,41746,4048525
IL,2008,57095,1047563
OH,2010,39968,4028773
IL,2009,53964,1013263
OH,2011,39046,4100111
IL,2010,55924,1008665
OH,2012,53791,4158890
IL,2011,56038,1020337
OH,2013,65246,4210616
IL,2012,70456,1025762
OH,2014,73216,4270069
IL,2013,91050,1014027
OH,2015,80494,4328014
IL,2014,100912,1019633
OH,2016,92376,4376748
IL,2015,112982,1027121
OH,2017,96106,4416727
IL,2016,123898,1019035
OH,2018,96398,4474514
IL,2017,125008,1014503
OH,2019,92124,4484893
IL,2018,130137,1017891
OH,2020,94848,4349879
IL,2019,121333,1009079
OH,2021,103696,4450123
IL,2020,132576,964727
IL,2021,158332,981292
GA,2008,46020,4234270
GA,2009,45515,4077227
GA,2010,47379,4055391
GA,2011,48390,4149402
GA,2012,50908,4203710
GA,2013,62647,4304306
GA,2014,69638,4460014
GA,2015,82176,4604400
GA,2016,101129,4732702
GA,2017,105259,4864681
GA,2018,102981,5006509
GA,2019,102047,5102300
VA,2008,70765,1467765
GA,2020,106556,5036359
VA,2009,79881,1424215
GA,2021,116615,5220927
VA,2010,80386,1411988
VA,2011,74806,1431695
VA,2012,86432,1451083
VA,2013,101429,1468316
VA,2014,98771,1490908
VA,2015,111550,1525678
VA,2016,122654,1550641
VA,2017,131822,1572739
VA,2018,131458,1595886
OR,2008,19032,767692
VA,2019,135978,1609961
OR,2009,18964,729765
VA,2020,149680,1570382
OR,2010,18651,720625
VA,2021,178379,1607313
OR,2011,18905,723162
OR,2012,23868,725618
OR,2013,31000,737470
OR,2014,32377,761023
OR,2015,39459,784773
OR,2016,39739,803431
OR,2017,38235,826554
OR,2018,37820,847852
OR,2019,36214,848984
OR,2020,39404,832750
OR,2021,46265,859332
PA,2008,78612,3698997
PA,2009,79715,3607244
PA,2010,74230,3608546
PA,2011,69265,3657136
PA,2012,80024,3691057
PA,2013,92404,3718036
PA,2014,90194,3748259
PA,2015,103261,3781508
PA,2016,111929,3803235
PA,2017,118937,3829408
PA,2018,120941,3871180
PA,2019,119289,3871119
PA,2020,119995,3689113
PA,2021,149985,3779054
NM,2008,6785,764595
NM,2009,7233,739718
NM,2010,6733,728446
NM,2011,6568,729990
NM,2012,7755,730031
NM,2013,9150,735415
NM,2014,8826,741282
NM,2015,10246,748859
NM,2016,11244,754959
NM,2017,11840,758261
NM,2018,12008,767015
NM,2019,12613,769478
NM,2020,13551,737458
NM,2021,14061,755623
LA,2008,13229,2217917
LA,2009,13546,2198822
LA,2010,11834,2204344
LA,2011,12238,2230661
MA,2008,41323,598669
LA,2012,14010,2267948
MA,2009,45945,583181
LA,2013,16002,2309297
MA,2010,45374,581612
LA,2014,16849,2352373
MA,2011,46480,585320
LA,2015,18944,2366239
MA,2012,57079,600046
LA,2016,21085,2365536
MA,2013,67117,609470
LA,2017,20939,2369725
MA,2014,66967,616036
LA,2018,20984,2401041
MA,2015,73764,635744
LA,2019,20875,2395581
MA,2016,79133,641596
LA,2020,23207,2277592
MA,2017,80187,646293
LA,2021,29212,2320059
MA,2018,78590,650513
MA,2019,78961,648123
MA,2020,82923,607054
MA,2021,87544,631892
MI,2008,34050,4476087
MI,2009,35471,4225563
MI,2010,42214,4224393
MI,2011,44326,4341812
MI,2012,54845,4407930
MI,2013,68806,4486936
MI,2014,68068,4565245
MI,2015,76881,4650575
MI,2016,84791,4718978
MI,2017,88015,4776200
MI,2018,87210,4852340
MI,2019,84415,4858346
MI,2020,85377,4573496
MI,2021,95422,4737910
WA,2008,26915,3410052
WA,2009,25981,3290618
WA,2010,26944,3253141
WA,2011,27432,3294391
WA,2012,37238,3381177
WA,2013,46974,3451779
WA,2014,48670,3542175
WA,2015,57270,3636182
WA,2016,63227,3735260
IA,2008,6762,967079
WA,2017,65602,3836251
IA,2009,7178,957497
WA,2018,60518,3927996
IA,2010,6338,956317
WA,2019,58127,3975994
IA,2011,6446,972821
WA,2020,59975,3835316
IA,2012,8066,987435
WA,2021,66626,3934868
IA,2013,10068,1003571
IA,2014,10073,1018385
IA,2015,11967,1031503
IA,2016,12903,1043951
IA,2017,13262,1052296
IA,2018,13408,1063194
IA,2019,12439,1064406
IA,2020,14561,1033253
IA,2021,13962,1058495
CO,2008,40943,2782262
CO,2009,41357,2716103
CO,2010,39006,2705726
CO,2011,38034,2764451
CO,2012,50194,2821201
CO,2013,66485,2908161
CO,2014,70689,3011029
MD,2008,24501,1742154
MD,2009,23224,1705708
MD,2010,22995,1702710
MD,2011,20365,1735516
MD,2012,24186,1765783
MD,2013,27924,1793344
MD,2014,26748,1814752
MD,2015,30702,1848747
MD,2016,35501,1875861
MD,2017,39296,1896683
MD,2018,37068,1926034
AL,2008,8528,2007399
MD,2019,37977,1925059
AL,2009,9648,1933955
MD,2020,45362,1861994
AL,2010,9314,1922302
MD,2021,60139,1907742
AL,2011,9878,1954509
AL,2012,14442,1962767
AL,2013,22983,1978820
NC,2008,48845,3209012
AL,2014,24897,2005818
NC,2009,44810,3106927
AL,2015,20374,2035262
NC,2010,41992,3091789
AL,2016,15901,2064510
NC,2011,41615,3146493
AL,2017,16689,2092650
NC,2012,51143,3184540
AL,2018,17904,2130151
NC,2013,64803,3226983
AL,2019,17265,2149320
NC,2014,68118,3298417
AL,2020,18728,2116708
NC,2015,77288,3369052
AL,2021,19826,2174486
NC,2016,88292,3446794
NC,2017,96234,3502011
NC,2018,93168,3584641
NC,2019,94332,3641297
NC,2020,100372,3575305
NC,2021,105286,3710542
WI,2008,17220,2481378
WI,2009,17845,2390395
WI,2010,15647,2377788
WI,2011,15256,2413566
WI,2012,19346,2434920
WI,2013,24041,2464664
WI,2014,23756,2499493
WI,2015,26841,2531635
WI,2016,28573,2559908
WI,2017,28414,2577704
WI,2018,28392,2610126
WI,2019,27257,2613869
WI,2020,28111,2513542
WI,2021,28792,2570272
IN,2008,19535,2095804
IN,2009,20959,2004561
IN,2010,18925,2007097
IN,2011,19523,2050383
IN,2012,23223,2091191
IN,2013,28980,2121943
IN,2014,28238,2161858
IN,2015,30186,2204065
IN,2016,32850,2244682
IN,2017,33864,2290696
IN,2018,34234,2331129
IN,2019,33641,2343381
IN,2020,35335,2274844
IN,2021,34107,2351438
ID,2008,5538,645882
ID,2009,6973,616209
ID,2010,7928,609378
ID,2011,9019,617473
ID,2012,9107,621822
ID,2013,10289,638411
ID,2014,10561,656291
ID,2015,12493,676134
ID,2016,13859,698375
ID,2017,14097,723061
ID,2018,15218,752716
ID,2019,15579,773817
ID,2020,16436,786505
ID,2021,12931,824580
CO,2015,78228,3111492
CO,2016,80200,3198384
CO,2017,80702,3283815
CO,2018,76339,3374722
CO,2019,77651,3415956
CO,2020,82367,3353668
CO,2021,83378,3462899
KY,2008,11148,553980
KY,2009,11935,536241
KY,2010,11145,541229
KY,2011,10523,552056
KY,2012,13448,557568
KY,2013,16692,564036
KY,2014,16625,572886
KY,2015,18486,585783
KY,2016,21013,597274
KY,2017,20393,603260
KY,2018,21948,606667
KY,2019,21566,607064
KY,2020,22180,588558
KY,2021,22220,603534
CT,2008,28581,2102375
CT,2009,29457,2047885
CT,2010,29309,2026089
CT,2011,27385,2058642
CT,2012,33101,2074425
CT,2013,39254,2096490
CT,2014,38866,2114734
CT,2015,42165,2136538
CT,2016,40244,2151290
CT,2017,42711,2151140
